YIL,AY,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI,TUKETIM
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,171.68
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,155.92
2021,12,2786.5,331.0,2.0,44.43,313786000.0,6.0,182.0
2023,10,612.0,1.0,1.0,24.72666666666667,244436000.0,6.0,117.96
2022,3,123.0,2.0,1.0,71.255,424798000.0,6.0,73.96
2021,12,170.5,7.0,1.0,44.43,313786000.0,6.0,97.15
2020,2,60.0,5.0,2.0,44.46666666666667,320996000.0,6.0,120.13
2024,8,15.0,2.0,1.0,32.655,257371000.0,6.0,112.45
2022,4,9.0,2.0,2.0,69.625,417610000.0,6.0,153.29
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,126.56
2024,6,6.0,1.0,1.0,44.92,314563000.0,6.0,141.5
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,102.14
2021,4,209.0,6.0,3.0,71.15166666666666,454646000.0,6.0,136.71
2021,2,707.0,4.0,1.0,63.975,381253000.0,6.0,159.25
2024,3,47.0,4.0,2.0,49.19499999999999,340131000.0,6.0,88.64
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,81.5
2022,10,6053.0,1.0,1.0,40.355,303945000.0,6.0,208.83
2022,12,2.0,1.0,1.0,36.53833333333333,288391000.0,6.0,120.38
2020,8,170.5,7.0,1.0,32.69166666666667,294685000.0,6.0,96.17
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,145.22
2020,11,15701.5,3513.0,2.0,24.118333333333336,243861000.0,6.0,210.38
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,107.53
2020,8,8100.0,568.0,2.0,32.69166666666667,294685000.0,6.0,101.56
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,41.52
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,132.39
2020,7,20.0,1.0,1.0,38.525,316270000.0,6.0,190.78
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,155.69
2024,2,170.5,7.0,1.0,44.58833333333333,331522000.0,6.0,95.27
2024,3,552.0,81.0,1.0,49.19499999999999,340131000.0,6.0,94.13
2024,2,170.5,7.0,1.0,44.58833333333333,331522000.0,6.0,119.9
2020,11,15701.5,3513.0,2.0,24.118333333333336,243861000.0,6.0,121.86
2021,11,145.0,13.0,1.0,36.111666666666665,299884000.0,6.0,172.42
2021,1,251.5,40.0,2.0,42.87166666666667,270220000.0,6.0,133.63
2020,1,130.0,8.0,1.0,43.28583333333333,750576000.0,12.0,142.07
2023,2,182.0,18.0,1.0,39.745,304390000.0,6.0,146.15
2023,3,170.5,7.0,1.0,42.32666666666667,313051000.0,6.0,126.53
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,213.12
2023,3,112.0,1.0,1.0,42.32666666666667,313051000.0,6.0,146.76
2022,11,69.0,9.0,1.0,35.45333333333333,290429000.0,6.0,121.73
