YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2022,7,ÇEŞME,DALYAN,Konut,Su,KONUT,1550,32803.0
2020,8,TORBALI,ERTUĞRUL,Konut Dışı,Su,ÖZEL OKULLAR,1,13.0
2021,1,MENDERES,ÇİLEME,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,2,61.0
2022,5,ÖDEMİŞ,SÜLEYMAN DEMİREL,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,12,940.0
2023,8,GAZİEMİR,GAZİKENT,Konut,Su,KONUT (S),1,28.0
2023,1,ÇİĞLİ,BALATÇIK,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,10.0
2022,9,SELÇUK,14 MAYIS,Konut,Su,KONUT,2256,24626.0
2021,4,BAYRAKLI,SOĞUKKUYU,Konut Dışı,Su,RESMİ OKUL HASTANELER,3,380.0
2020,1,BUCA,KARACAAĞAÇ,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,48.0
2021,3,ALİAĞA,ÇALTILIDERE,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,96,415.0
2022,4,DİKİLİ,DENİZKÖY,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,192,1856.0
2024,3,BORNOVA,RAFET PAŞA,Konut,Su,KONUT,5091,55050.0
2024,7,MENEMEN,YAHŞELLİ,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,7,251.0
2021,3,ÇİĞLİ,UĞUR MUMCU,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,6.0
2022,8,BAYINDIR,KARAHALİLLİ,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,63.0
2021,12,BAYINDIR,ÇINAR,Konut,Su,E.A.,2,9.0
2020,1,ÖDEMİŞ,BOZCAYAKA,Konut Dışı,Su,İBADETHANELER,1,28.0
2022,12,NARLIDERE,LİMANREİS,Konut Dışı,Su,İŞYERİ,43,1248.0
2024,6,MENDERES,DEVELİ,,Su,KIRSAL İŞYERİ ( KÖY),2,36.0
2022,11,BUCA,DUMLUPINAR,Konut Dışı,Su,BELEDİYE,2,193.0
2023,9,BERGAMA,AHMETBEYLER,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,32.0
2020,10,NARLIDERE,SAHİLEVLERİ,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,6,1298.0
2021,8,GAZİEMİR,ATATÜRK,Konut Dışı,Su,İŞYERİ,64,608.0
2021,8,KARŞIYAKA,DEDEBAŞI,Konut Dışı,Su,RESMİ DAİRE,6,678.0
2022,2,BAYINDIR,MİTHATPAŞA,Konut Dışı,Su,RESMİ DAİRE,11,602.0
2021,11,BERGAMA,GAZİPAŞA,Konut Dışı,Su,İŞYERİ,66,507.0
2023,3,SEFERİHİSAR,TURGUT,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,30.0
2021,5,KARABURUN,KÜÇÜKBAHÇE,Konut Dışı,Su,BELEDİYE,1,1.0
2021,8,FOÇA,KOZBEYLİ,Konut Dışı,Su,İBADETHANELER,1,20.0
2022,11,URLA,HACI İSA,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,2,26.0
2021,5,BEYDAĞ,BEYKÖY,Konut Dışı,Su,İŞYERİ,2,12.0
2022,8,GÜZELBAHÇE,MUSTAFA KEMAL PAŞA,Konut,Su,E.A.,36,850.0
2020,3,BERGAMA,ÖKSÜZLER,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,1,11.0
2023,3,ALİAĞA,SİTELER,Sanayi,Su,SANAYİ,2,175.0
2020,8,URLA,ÖZBEK,Konut,Atıksu,KUYU ATIK SU KONUT,1,600.0
2024,8,KINIK,YENİ,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,4,31.0
2023,6,MENDERES,ÇUKURALTI,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,203.0
2020,5,BUCA,KIRKLAR,Konut Dışı,Atıksu,KUYU ATIK SU RESMİ DAİRE,2,20198.0
2022,6,NARLIDERE,ÇAMTEPE,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,5,2844.0
2023,6,URLA,YENİCE,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,1,1.0
2020,8,GÜZELBAHÇE,KAHRAMANDERE,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,2,21.0
2020,9,KONAK,GÜZELYALI,Konut Dışı,Su,İNŞAAT (ŞANTİYE),1,16.0
2021,9,URLA,KALABAK,Konut,Su,ŞEHİT GAZİ,8,147.0
2024,8,URLA,İSKELE,Konut Dışı,Su,İNŞAAT (ŞANTİYE),9,391.0
2020,1,KİRAZ,SOLAKLAR,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,71,599.0
2020,12,BAYRAKLI,OSMANGAZİ,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,25.0
2024,4,KİRAZ,VELİLER,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,37,1268.0
2023,9,BEYDAĞ,CUMHURİYET,Konut Dışı,Su,RESMİ OKUL HASTANELER,3,227.0
2023,7,KEMALPAŞA,SOĞUKPINAR,Konut Dışı,Su,RESMİ OKUL HASTANELER,9,238.0
2021,2,DİKİLİ,YENİCE,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,55,1758.0
2024,4,MENDERES,ÖZDERE CUMHURİYET,Konut Dışı,Su,İŞYERİ,34,499.0
2023,9,KARABAĞLAR,BOZYAKA,Konut,Su,KONUT,4814,54233.0
2023,9,DİKİLİ,ÇAĞLAN,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,17,171.0
2020,11,FOÇA,HACIVELİ,Sanayi,Su,SANAYİ,1,27.0
2022,12,SELÇUK,İSA BEY,Konut Dışı,Su,ÖZEL OKULLAR,4,97.0
2024,2,KİRAZ,YENİKÖY,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,1,1.0
2021,1,BAYRAKLI,BAYRAKLI,Konut Dışı,Su,RESMİ DAİRE,4,73.0
2023,9,KARABURUN,MORDOĞAN,Konut Dışı,Su,İBADETHANELER,6,56.0
2023,5,BUCA,KARACAAĞAÇ,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,9,181.0
2023,6,KONAK,YEŞİLTEPE,Konut Dışı,Su,BELEDİYE,3,301.0
2024,1,BALÇOVA,ONUR,Sanayi,Su,SANAYİ,1,2.0
2024,4,SELÇUK,14 MAYIS,Konut Dışı,Su,İNŞAAT (ŞANTİYE),8,96.0
2020,6,KEMALPAŞA,ARMUTLU 85.YIL CUMHURİYET,Konut,Su,KONUT,1566,46928.0
2021,10,ÇİĞLİ,AYDINLIKEVLER,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,11,91.0
2020,11,BEYDAĞ,ÇAMLIK,Konut,Su,KÖY ENGELLİ,2,37.0
2023,12,BORNOVA,BARBAROS,Konut Dışı,Su,BELEDİYE,2,834.0
2022,7,TORBALI,YAZIBAŞI,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,7,128.0
2023,8,FOÇA,MUSTAFA KEMAL ATATÜRK,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,3,111.0
2024,3,URLA,GÜVENDİK,Konut Dışı,Su,İNŞAAT (ŞANTİYE),18,393.0
2022,1,BAYRAKLI,KÖRFEZ,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,10,46.0
2020,5,TORBALI,ERTUĞRUL,Konut,Su,E.A.,7,213.0
2023,12,KİRAZ,AHMETLER,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,17,113.0
2023,9,KARŞIYAKA,DEMİRKÖPRÜ,Konut,Su,E.A.,84,906.0
2022,8,GÜZELBAHÇE,MUSTAFA KEMAL PAŞA,Konut,Su,KONUT (S),5,46.0
2020,8,BERGAMA,DEREKÖY,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,1,3.0
